Museum,Year,Income,IncomeType
Sir John Soane's Museum,2022/23,217572,Trading
Tate Gallery Group,2022/23,4688000,Trading
Tyne and Wear Museums,2022/23,,Trading
Victoria and Albert Museum,2022/23,5382000,Trading
Wallace Collection,2022/23,939000,Trading
Total,2022/23,52525000,Trading
British Museum,2023/24,14500000,Trading
Museum of the Home,2023/24,116803,Trading
Horniman Museum,2023/24,279592,Trading
Imperial War Museums,2023/24,5418000,Trading
Museum of Science and Industry in Manchester,2023/24,,Trading
National Gallery,2023/24,5100000,Trading
National Museums Liverpool,2023/24,1378881,Trading
National Portrait Gallery,2023/24,221000,Trading
Natural History Museum,2023/24,17700000,Trading
Royal Armouries,2023/24,2227394,Trading
Royal Museums Greenwich,2023/24,1251570,Trading
Science Museum Group,2023/24,2797000,Trading
Sir John Soane's Museum,2023/24,230937,Trading
Tate Gallery Group,2023/24,3812000,Trading
Tyne and Wear Museums,2023/24,,Trading
Victoria and Albert Museum,2023/24,8164000,Trading
Wallace Collection,2023/24,805000,Trading
Total,2023/24,64002000,Trading
British Museum,Notes,,Trading
Museum of the Home,Notes,,Trading
Horniman Museum,Notes,,Trading
Imperial War Museums,Notes,,Trading
Museum of Science and Industry in Manchester,Notes,,Trading
National Gallery,Notes,,Trading
National Museums Liverpool,Notes,,Trading
National Portrait Gallery,Notes,,Trading
Natural History Museum,Notes,,Trading
Royal Armouries,Notes,,Trading
Royal Museums Greenwich,Notes,,Trading
Science Museum Group,Notes,,Trading
Sir John Soane's Museum,Notes,,Trading
Tate Gallery Group,Notes,,Trading
Tyne and Wear Museums,Notes,,Trading
Victoria and Albert Museum,Notes,,Trading
Wallace Collection,Notes,,Trading
Total,Notes,,Trading
British Museum,2008/09,8000000,Fundraising
Museum of the Home,2008/09,52953,Fundraising
Horniman Museum,2008/09,398321,Fundraising
Imperial War Museums,2008/09,3496000,Fundraising
Museum of Science and Industry in Manchester,2008/09,147000,Fundraising
National Gallery,2008/09,38879000,Fundraising
National Museums Liverpool,2008/09,1726998,Fundraising
National Portrait Gallery,2008/09,5195000,Fundraising
Natural History Museum,2008/09,2379000,Fundraising
Royal Armouries,2008/09,744000,Fundraising
Royal Museums Greenwich,2008/09,333108,Fundraising
Science Museum Group,2008/09,3128000,Fundraising
Sir John Soane's Museum,2008/09,497021,Fundraising
Tate Gallery Group,2008/09,27037000,Fundraising
Tyne and Wear Museums,2008/09,139064,Fundraising
Victoria and Albert Museum,2008/09,20127000,Fundraising
Wallace Collection,2008/09,1173000,Fundraising
Total,2008/09,113452000,Fundraising
British Museum,2009/10,15200000,Fundraising
Museum of the Home,2009/10,38719,Fundraising
Horniman Museum,2009/10,377637,Fundraising
Imperial War Museums,2009/10,67010,Fundraising
Museum of Science and Industry in Manchester,2009/10,2470231,Fundraising
National Gallery,2009/10,9040000,Fundraising
National Museums Liverpool,2009/10,3003000,Fundraising
National Portrait Gallery,2009/10,4014000,Fundraising
Natural History Museum,2009/10,6870000,Fundraising
Royal Armouries,2009/10,574000,Fundraising
Royal Museums Greenwich,2009/10,3420157,Fundraising
Science Museum Group,2009/10,8720000,Fundraising
Sir John Soane's Museum,2009/10,1061397,Fundraising
Tate Gallery Group,2009/10,17643000,Fundraising
Tyne and Wear Museums,2009/10,200121,Fundraising
Victoria and Albert Museum,2009/10,17175000,Fundraising
Wallace Collection,2009/10,2132000,Fundraising
Total,2009/10,92006000,Fundraising
British Museum,2011/12,16500000,Fundraising
Museum of the Home,2011/12,103993,Fundraising
Horniman Museum,2011/12,1076064,Fundraising
Imperial War Museums,2011/12,2478000,Fundraising
Museum of Science and Industry in Manchester,2011/12,,Fundraising
National Gallery,2011/12,99070000,Fundraising
National Museums Liverpool,2011/12,1069000,Fundraising
National Portrait Gallery,2011/12,2631000,Fundraising
Natural History Museum,2011/12,2260000,Fundraising
Royal Armouries,2011/12,1026000,Fundraising
Royal Museums Greenwich,2011/12,8794000,Fundraising
Science Museum Group,2011/12,5628000,Fundraising
Sir John Soane's Museum,2011/12,1976881,Fundraising
Tate Gallery Group,2011/12,20540000,Fundraising
Tyne and Wear Museums,2011/12,109995,Fundraising
Victoria and Albert Museum,2011/12,12611000,Fundraising
Wallace Collection,2011/12,2023000,Fundraising
Total,2011/12,177897000,Fundraising
British Museum,2012/13,39500000,Fundraising
Museum of the Home,2012/13,65700,Fundraising
Horniman Museum,2012/13,338172,Fundraising
Imperial War Museums,2012/13,3436968,Fundraising
Museum of Science and Industry in Manchester,2012/13,,Fundraising
National Gallery,2012/13,26778000,Fundraising
National Museums Liverpool,2012/13,885206,Fundraising
National Portrait Gallery,2012/13,2813000,Fundraising
Natural History Museum,2012/13,2150000,Fundraising
Royal Armouries,2012/13,126000,Fundraising
Royal Museums Greenwich,2012/13,2874000,Fundraising
Science Museum Group,2012/13,9824000,Fundraising
Sir John Soane's Museum,2012/13,934905,Fundraising
Tate Gallery Group,2012/13,53887000,Fundraising
Tyne and Wear Museums,2012/13,115406,Fundraising
Victoria and Albert Museum,2012/13,11929000,Fundraising
Wallace Collection,2012/13,2052000,Fundraising
Total,2012/13,157709000,Fundraising
British Museum,2013/14,54200000,Fundraising
Museum of the Home,2013/14,22010,Fundraising
Horniman Museum,2013/14,478239,Fundraising
Imperial War Museums,2013/14,20102000,Fundraising
Museum of Science and Industry in Manchester,2013/14,,Fundraising
National Gallery,2013/14,21100000,Fundraising
National Museums Liverpool,2013/14,1000480,Fundraising
National Portrait Gallery,2013/14,4264000,Fundraising
Natural History Museum,2013/14,3520000,Fundraising
Royal Armouries,2013/14,267000,Fundraising
Royal Museums Greenwich,2013/14,6137637,Fundraising
Science Museum Group,2013/14,14045000,Fundraising
Sir John Soane's Museum,2013/14,1317044,Fundraising
Tate Gallery Group,2013/14,95123000,Fundraising
Tyne and Wear Museums,2013/14,82650,Fundraising
Victoria and Albert Museum,2013/14,15476000,Fundraising
Wallace Collection,2013/14,3485000,Fundraising
Total,2013/14,240620000,Fundraising
British Museum,2015/16,30800000,Fundraising
