Museum,Year,VisitorCount,VisitorType
Natural History Museum,2015/16,1328000,Under 16
Royal Armouries,2015/16,560664,Under 16
Royal Museums Greenwich,2015/16,538349,Under 16
Science Museum Group,2015/16,1748000,Under 16
Sir John Soane's Museum,2015/16,3497,Under 16
Tate Gallery Group,2015/16,442760,Under 16
Tyne and Wear Museums,2015/16,,Under 16
Victoria and Albert Museum,2015/16,550327,Under 16
Wallace Collection,2015/16,22569,Under 16
Total,2015/16,7773000,Under 16
British Museum,2016/17,797391,Under 16
Museum of the Home,2016/17,18078,Under 16
Horniman Museum,2016/17,267000,Under 16
Imperial War Museums,2016/17,513000,Under 16
Museum of Science and Industry in Manchester,2016/17,,Under 16
National Gallery,2016/17,400000,Under 16
National Museums Liverpool,2016/17,518682,Under 16
National Portrait Gallery,2016/17,156000,Under 16
Natural History Museum,2016/17,1099000,Under 16
Royal Armouries,2016/17,540631,Under 16
Royal Museums Greenwich,2016/17,537022,Under 16
Science Museum Group,2016/17,1598000,Under 16
Sir John Soane's Museum,2016/17,6075,Under 16
Tate Gallery Group,2016/17,590598,Under 16
Tyne and Wear Museums,2016/17,,Under 16
Victoria and Albert Museum,2016/17,486700,Under 16
Wallace Collection,2016/17,21687,Under 16
Total,2016/17,7550000,Under 16
British Museum,2017/18,888467,Under 16
Museum of the Home,2017/18,15987,Under 16
Horniman Museum,2017/18,251000,Under 16
Imperial War Museums,2017/18,511000,Under 16
Museum of Science and Industry in Manchester,2017/18,,Under 16
National Gallery,2017/18,454708,Under 16
National Museums Liverpool,2017/18,568575,Under 16
National Portrait Gallery,2017/18,145000,Under 16
Natural History Museum,2017/18,1192000,Under 16
Royal Armouries,2017/18,469326,Under 16
Royal Museums Greenwich,2017/18,569085,Under 16
Science Museum Group,2017/18,1629000,Under 16
Sir John Soane's Museum,2017/18,7842,Under 16
Tate Gallery Group,2017/18,699000,Under 16
Tyne and Wear Museums,2017/18,,Under 16
Victoria and Albert Museum,2017/18,584029,Under 16
Wallace Collection,2017/18,20370,Under 16
Total,2017/18,8005000,Under 16
British Museum,2018/19,988149,Under 16
Museum of the Home,2018/19,2862,Under 16
Horniman Museum,2018/19,246000,Under 16
Imperial War Museums,2018/19,520000,Under 16
Museum of Science and Industry in Manchester,2018/19,,Under 16
National Gallery,2018/19,533066,Under 16
National Museums Liverpool,2018/19,527405,Under 16
National Portrait Gallery,2018/19,129000,Under 16
Natural History Museum,2018/19,1512000,Under 16
Royal Armouries,2018/19,525390,Under 16
Royal Museums Greenwich,2018/19,608730,Under 16
Science Museum Group,2018/19,1593000,Under 16
Sir John Soane's Museum,2018/19,6574,Under 16
Tate Gallery Group,2018/19,686000,Under 16
Tyne and Wear Museums,2018/19,,Under 16
Victoria and Albert Museum,2018/19,565535,Under 16
Wallace Collection,2018/19,17594,Under 16
Total,2018/19,8461000,Under 16
British Museum,2019/20,862293,Under 16
Museum of the Home,2019/20,2504,Under 16
Horniman Museum,2019/20,272000,Under 16
Imperial War Museums,2019/20,517000,Under 16
Museum of Science and Industry in Manchester,2019/20,,Under 16
National Gallery,2019/20,400000,Under 16
National Museums Liverpool,2019/20,622930,Under 16
National Portrait Gallery,2019/20,108000,Under 16
Natural History Museum,2019/20,1252000,Under 16
Royal Armouries,2019/20,486707,Under 16
Royal Museums Greenwich,2019/20,729797,Under 16
Science Museum Group,2019/20,1462000,Under 16
Sir John Soane's Museum,2019/20,4883,Under 16
Tate Gallery Group,2019/20,758000,Under 16
Tyne and Wear Museums,2019/20,,Under 16
Victoria and Albert Museum,2019/20,396988,Under 16
Wallace Collection,2019/20,16086,Under 16
Total,2019/20,7891000,Under 16
British Museum,2020/21,45414,Under 16
Museum of the Home,2020/21,0,Under 16
Horniman Museum,2020/21,32000,Under 16
Imperial War Museums,2020/21,45000,Under 16
Museum of Science and Industry in Manchester,2020/21,,Under 16
National Gallery,2020/21,28000,Under 16
National Museums Liverpool,2020/21,54148,Under 16
National Portrait Gallery,2020/21,,Under 16
