Museum Name,Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
Museum Of London ,June,30417,32595,26865,26293,0,0,0,0,0,0,0,0,0,0,0
Museum Of London ,July,38545,28154,27909,27792,0,0,0,0,0,0,0,0,0,0,0
Museum Of London ,August,38014,22471,37207,28846,0,0,0,0,0,0,0,0,0,0,0
Museum Of London ,September,30916,24359,25611,20664,0,0,0,0,0,0,0,0,0,0,0
Museum Of London ,October,47732,32870,39234,28432,0,0,0,0,0,0,0,0,0,0,0
Museum Of London ,November,43130,30522,34542,23965,0,0,0,0,0,0,0,0,0,0,0
Museum Of London ,December,31183,23757,22227,16383,0,0,0,0,0,0,0,0,0,0,0
Museum Of London ,January,33103,31420,27260,18598,0,0,0,0,0,0,0,0,0,0,0
Museum Of London ,February,47901,39698,35651,29711,0,0,0,0,0,0,0,0,0,0,0
Museum Of London ,March,43585,38515,31318,31703,0,0,0,0,0,0,0,0,0,0,0
Museum In Docklands,April,8450,9059,8685,7288,0,0,0,0,0,0,0,0,0,0,0
Museum In Docklands,May,9461,8622,7674,8328,0,0,0,0,0,0,0,0,0,0,0
Museum In Docklands,June,16400,7013,6004,6761,0,0,0,0,0,0,0,0,0,0,0
Museum In Docklands,July,7868,4934,6616,6907,0,0,0,0,0,0,0,0,0,0,0
Museum In Docklands,August,7840,14209,15040,7237,0,0,0,0,0,0,0,0,0,0,0
Museum In Docklands,September,6396,5887,5247,4731,0,0,0,0,0,0,0,0,0,0,0
Museum In Docklands,October,10246,9282,8574,8616,0,0,0,0,0,0,0,0,0,0,0
Museum In Docklands,November,6871,7051,5925,10721,0,0,0,0,0,0,0,0,0,0,0
Museum In Docklands,December,4729,5421,5519,7674,0,0,0,0,0,0,0,0,0,0,0
Museum In Docklands,January,9343,5360,6101,7204,0,0,0,0,0,0,0,0,0,0,0
Museum In Docklands,February,9929,12452,9194,11067,0,0,0,0,0,0,0,0,0,0,0
Museum In Docklands,March,9323,11785,9480,14300,0,0,0,0,0,0,0,0,0,0,0
