accessionNumber,accessionYear,systemNumber,objectType,_primaryTitle,_primaryPlace,_primaryMaker__name,_primaryMaker__association,_primaryDate,_primaryImageId,_sampleMaterial,_sampleTechnique,_sampleStyle,_currentLocation__displayName,_objectContentWarning,_imageContentWarning
FE.32-1984,1984.0,O24352,Figure,Liu Haichan,Yixing,"Xu, Xiutang",maker,1980,2013GN9804,zisha,sculpture,,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
FE.562-1992,1992.0,O248870,Sculpture,Clay container for mummified newspapers,Chiba,"Nishimura, Yohei",maker,1991,2006AH8362,earthenware,unglazed,Heisei,"Ceramics, Room 142, The Lydia and Manfred Gorvy Gallery",False,False
C.51-2005,2005.0,O119818,Sculpture,Planet,Småland,"Bergström, Lena",designer,2004,2006AA4318,lead glass,cut,,"Contemporary Glass, Room 129, The Märit Rausing Gallery",False,False
"C.57:1, 2-2002",2002.0,O75975,Sculpture,Engraved Impala Situla,Pilchuck,William Morris,artist,2000,2006AH0205,,,,"Contemporary Glass, Room 129, The Märit Rausing Gallery",False,False
FE.50-2024,2024.0,O1771174,Sculpture,,China,,,2012,,lacquer,,,"China, Room 44",False,False
CIRC.529-1969,1969.0,O19781,Sculpture,Cylinder with split centre,Great Britain,"Welch, Robin",maker,1968,2006AN7555,Stoneware,,,"Ceramics, Room 142, The Lydia and Manfred Gorvy Gallery",False,False
FE.85-2021,2021.0,O1596302,Sculpture,,,,,,2022NG2172,stoneware,,,"Ceramics, Room 146",False,False
,2023.0,O1761936,Sculpture,Stratum,Takaoka,"Ueda, Tsuyoshi",artist,2021,2024NY3812,bronze,,,"Japan, Room 45, The Toshiba Gallery",False,False
"FE.6:1, 2-1991",1991.0,O457503,Sculpture,Temple Roof,Japan,"Miyanaga, Rikichi",artist,1987,2010EC0508,,,Showa,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
CIRC.444-1969,1969.0,O6851,Sculpture,Lollipop Isle,Finland,"Toikka, Oiva",designer,1969,2006AV2365,,,,"Glass, Room 131",False,False
FE.97-2013,2013.0,O1264831,Textile sculpture,Matrix II 201025,South Korea,"Chang, Yeon-Soon 장연순",artist,2010,2018LD2880,Manilla hemp,sewing,contemporary,"Korea, Room 47g",False,False
FE.63-2025,2025.0,O1793805,Sculpture,,,,,,,,,,"Ceramics, Room 146",False,False
FE.62-2025,2025.0,O1793804,Sculpture,,,,,,,,,,"Ceramics, Room 146",False,False
FE.61-2025,2025.0,O1793803,Sculpture,,,,,,,,,,"Ceramics, Room 146",False,False
LOAN:EENENS.1-2019,2019.0,O1409426,Sculpture,,Thailand,,,19th century,2019MD0236,Bronze,,,"Buddhism, Room 47f, The Robert H. N. Ho Family Foundation Galleries of Buddhist Art",False,False
IS.45-1999,1999.0,O81616,Figure group,Sculpture,Gujarat,Unknown,,7th century-8th century,2011EN9680,bronze,,Gurjara-Partihara,"South Asian Sculpture, Room 47b",False,False
IM.10-1930,1930.0,O25021,Sculpture,Mahakala,Odisha,Unknown,,12th century,2006AU5626,basalt,carving,Eastern Ganga,"Buddhism, Room 17, The Robert H. N. Ho Family Foundation Galleries of Buddhist Art",False,False
CIRC.461-1970,1970.0,O19119,Sculpture,Reptilian Black,Eton,"Baldwin, Gordon",maker,1969-1970,2006BD0871,earthenware,handbuilding,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
FE.199-2011,2011.0,O1224897,Sculpture,From Circle,South Korea,"RO, Hae Sin",made,2006,2011FB7353,,,,"Korea, Room 47g",False,False
IS.70-1949,1949.0,O65328,Sculpture,Buddha,Pakistan,Unknown,,3rd century - 5th century,2017KA6446,schist,carving,Gandharan,"South Asian Sculpture, Room 47b",False,False
IS.69-1986,1986.0,O25057,Sculpture,Fragment of Relief,Bharhut,Unknown,,late 2nd century B.C.,2006BC5307,,carving,Sunga period,"South Asian Sculpture, Room 47b",False,False
IM.65-1927,1927.0,O145297,Sculpture,,Thailand,Unknown,,14th century -15th century,2008BW4927,bronze,casting,,"The Himalayas and South-East Asia, Room 47a",False,False
FE.93-2025,2025.0,O1806964,Sculpture,,Jingdezhen,"Yao, Yongkang",,2004,,porcelain,,,"Ceramics, Room 146",False,False
A.17-2018,2018.0,O1389155,Sculpture,,Madrid,Factum Foundation,,2018,2019LH6812,resin,,,"Cast Courts, Room 46, The Chitra Nirmal Sethia Gallery",False,False
FE.75-2025,2025.0,O1792503,Sculpture,,,,,2017,2025PH1644,,,,"Ceramics, Room 146",False,False
"C.28:1, 2-1994",1994.0,O250098,Sculpture,Sonja,Nuutajärvi,"Toikka, Oiva",designers,1992,,glass,mould-blown,20TH CONT,"Glass, Room 131",False,False
C.109:1 to 5-2007,2007.0,O297313,Sculpture,Colorbox 1-5,Portland,"Kaneko, Jun",made,2006,2015HL8484,,,,"Contemporary Glass, Room 129, The Märit Rausing Gallery",False,False
IS.73-1993,1993.0,O25087,Sculpture,Head of a Male Deity,,Unknown,,10th century-11th century,2006BC8939,,carving,Koh Ker/Angkorian,"The Himalayas and South-East Asia, Room 47a",False,False
FE.14-1972,1972.0,O185578,Sculpture,Bodhisattva Jizō,Japan,Unknown,maker,12th century,2006BD3911,wood,carving,Heian,"Japan, Room 45, The Toshiba Gallery",False,False
IS.71-1993,1993.0,O24952,Sculpture,Standing Visnu,,Unknown,,7th century,2006AT8847,,,Pre-Angkorian,"The Himalayas and South-East Asia, Room 47a",False,False
"C.172, 173-1984",1984.0,O19515,Sculpture,Vase and dish. Cubist black set,Rotterdam,"Lord, Andrew",maker,1978,2021NB7137,earthenware,,,"Ceramics, Room 142, The Lydia and Manfred Gorvy Gallery",False,False
M.135:1 to 6-1922,1922.0,O177054,Sculpture,Fudō Myō-ō with His Acolytes Seitaka and Kongara,Japan,Unknown,,18th century,2009BY6814,gilt bronze,,Edo (Japanese period),"Buddhism, Room 17, The Robert H. N. Ho Family Foundation Galleries of Buddhist Art",False,False
FE.193-2011,2011.0,O1226981,Sculpture,Flower-s 2011,Kyoto,"Sakurai, Yasuko",maker,2011,2013GA5381,Porcelain,Slip-casting,Heisei,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
IM.4-1919,1919.0,O24838,Sculpture,Head of a Bodhisattva,Peshawar,Unknown,,late 2nd century-3rd century,2006AU8866,schist,carving,Gandharan,"The Himalayas and South-East Asia, Room 47a",False,False
IS.21-1988,1988.0,O24734,Sculpture,"Prajnaparamita, the Perfection of Knowledge Goddess",Sri Lanka,Unknown,,9th century-10th century,2006BF1860,bronze,,Polonnaruwa,"The Himalayas and South-East Asia, Room 47a",False,False
IM.2-1932,1932.0,O64444,Sculpture,Bodhisattva Vajrapani,Bihar,Unknown,,early 10th century,2006AU8861,basalt,carving,Pala,"South Asian Sculpture, Room 47b",False,False
IS.8-1966,1966.0,O24981,Sculpture,Nagaraja Guardstone,Sri Lanka,Unknown,,9th century,2009BY8562,granite,,Late Anuradhapura,"Buddhism, Room 18, The Robert H. N. Ho Family Foundation Galleries of Buddhist Art",False,False
CIRC.443-1919,1919.0,O151582,Sculpture,Martin Ware,London,Martin Brothers,maker,late 19th century,2010EB8738,stoneware,glazed,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
CIRC.832-1968,1968.0,O19386,Sculpture,Box with tubes,Great Britain,"Hepburn, Anthony",maker,1968,2006AN7565,Stoneware,glazing,,"Ceramics, Room 142, The Lydia and Manfred Gorvy Gallery",False,False
FE.59-2024,2024.0,O1781327,Sculpture,,,,,2021,2025PF8410,,,,"Ceramics, Room 146",False,False
FE.557-1992,1992.0,O248866,Sculpture,Appeared Figure,Shiga,"Hoshino, Satoru",maker,1990,2006AT8779,earthenware,unglazed,Heisei,"Ceramics, Room 142, The Lydia and Manfred Gorvy Gallery",False,False
FE.54-2018,2018.0,O1434228,Sculpture,Hua No.8,Dehua,Peter Ting,,2017,2018KV8590,,,,"China, Room 44",False,False
FE.57-2024,2024.0,O1772099,Sculpture,Oscillation ’16-12,Tokyo,"Tsumori, Hidenori",artist,2016,2024NY3806,glass,Pâte-de-verre,,"Japan, Room 45, The Toshiba Gallery",False,False
CIRC.459-1954,1954.0,O6868,Sculpture,Orchid,Finland,"Sarpaneva, Timo",designer,1954,2017JT5063,,,20TH CONT,"Glass, Room 131",False,False
8527-1863,1863.0,O17210,Sculpture,,Florence,"Tribolo, Niccolo",style of,1840-1860,2006AM6865,terracotta,casting,,"British Galleries, Room 122",False,False
IS.8-1947,1947.0,O25040,Sculpture,,Gandhara,Unknown,,2nd century-3rd century,2006AU8867,schist,,Kushan,"The Himalayas and South-East Asia, Room 47a",False,False
FE.12-1998,1998.0,O119129,Sculpture,Lunar Eclipse,Japan,"Aida, Yusuke",Artist,1991,2010EC2338,stoneware,glazing,,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
FE.11-1998,1998.0,O119119,Sculpture,Lunar Eclipse,Japan,"Aida, Yusuke",Artist,1991,2010EC2232,stoneware,glazing,,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
IS.52-1990,1990.0,O470707,Sculpture,,London,G Ravinder Reddy,maker,1983,2010EA6830,terracotta,,,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
C.98-2024,2024.0,O1786344,Sculpture,Loch Moidart R2085,Stroud,"Reid, Colin",made,2024,,Glass,lost-wax process,,"Contemporary Glass, Room 129, The Märit Rausing Gallery",False,False
IS.11-1997,1997.0,O25052,Sculpture,Buddha Sakyamuni,Indonesia,Unknown,,9th century-10th century,2006AW3999,bronze,,Central Javanese style,"The Himalayas and South-East Asia, Room 47a",False,False
C.112:1 to 22-1998,1998.0,O9906,Sculpture,A Moment in Time,Corning,"Aldridge, Peter",maker,1998,2006AR1150,glass,,,"Glass, Room 131",False,False
C.103:3-1995,1995.0,O256237,Sculpture (plate),The Will to Power,Quebec,"Mathieu, Paul",designer,1987,2009CR0582,porcelain,thrown,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
C.103:5-1995,1995.0,O256235,Sculpture (bowl),The Will to Power,Quebec,"Mathieu, Paul",designer,1987,2009CR4890,porcelain,thrown,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
IS.476-1950,1950.0,O24980,Sculpture,Buddha,Sri Lanka,Unknown,,7th century,2009CB5411,dolomite,carving,Late Anuradhapura,The Blavatnik Hall,False,False
IS.8-1978,1978.0,O24859,Sculpture,Descent of the Buddha from Tusita Heaven,Kashmir,Unknown,,8th century,2006AU8879,ivory,carving,,"The Himalayas and South-East Asia, Room 47a",False,False
IS.38-1988,1988.0,O24992,Sculpture,Head of the Buddha,Java,Unknown,,early 9th century,2006BF1864,,carving,Central Javanese style,"Buddhism, Room 47f, The Robert H. N. Ho Family Foundation Galleries of Buddhist Art",False,False
FE.61-2012,2012.0,O1254269,Sculpture,"Struggling Form Series - Form-1113: Twisting Back, Multiplying",Japan,"Nakashima, Harumi",maker,2011,2013GA5366,Porcelain,Hand-built,Heisei,"Japan, Room 45, The Toshiba Gallery",False,False
IS.22-1988,1988.0,O24954,Sculpture,,Cambodia,Unknown,,7th century,2011EV3941,,,Phnom Da,"The Himalayas and South-East Asia, Room 47a",False,False
,2025.0,O1803764,,"Sculpture, ‘Co-Existence – the Man and the Monkey’",jingdezhen,Zhao Lin,artist,2024,,clay,,,"Ceramics, Room 146",False,False
IS.72-1993,1993.0,O40333,Standing Bodhisattva,Sculpture,Thailand,Unknown,,7th century - 8th century,2024NU5347,copper alloy,lost wax,,"The Himalayas and South-East Asia, Room 47a",False,False
C.4:1 to 3-2000,2000.0,O50305,Sculpture,Balance,Haamstede,"Frijns, Bert",maker,2000,2006AM2725,Glass,,,"Glass, Room 131",False,False
1296-1904,1904.0,O233,Sculpture,,Egypt,,,30 BC - 400 AD,,glass,,ANCIENT,"Glass, Room 131",False,False
IM.302-1920,1920.0,O59465,Gandharva (Figure),,Mysore,Unknown,,early 13th century,2017KA6854,,carving,,"South Asian Sculpture, Room 47b",False,False
IS.138-1999,1999.0,O20276,Figure,Sculpture,Thailand,Unknown,,8th century-9th century,2006BC5167,copper alloy,,Dvaravati,"The Himalayas and South-East Asia, Room 47a",False,False
IS.2-1968,1968.0,O24764,Sculpture,Seated Figure of a Bodhisattva,Java,Unknown,,late 9th century - early 10th century,2009CB5413,,carving,Central Javanese,"Buddhism, Room 17, The Robert H. N. Ho Family Foundation Galleries of Buddhist Art",False,False
339-1907,1907.0,O65784,Figure,Sculpture,Pakistan,Unknown,,4th Century,2006AM4865,schist,carving,,"South Asian Sculpture, Room 47b",False,False
C.234-1987,1987.0,O3565,Sculpture,Claritas,Finland,"Sarpaneva, Timo",artist,1983,2006AD0919,,,20TH CONT,"Glass, Room 131",False,False
A.2&:2-1981,1981.0,O77793,Sculpture,Sleeping Cupid,London,"Fanelli, Francesco",maker,1635-1640,2006AN2492,,,,"British Galleries, Room 56, The Djanogly Gallery",False,False
CIRC.154&A-1973,1973.0,O19514,Sculpture,Box with figure,Great Britain,"Lord, Andrew",maker,1972,2021NB7139,Earthenware,,,"Ceramics, Room 142, The Lydia and Manfred Gorvy Gallery",False,False
C.146-1993,1993.0,O116552,Sculpture,"Wendy House, Dragon and Machine",Shepherd's Bush,"Astbury, Paul",maker,1971,2006BA1209,stoneware,glazed,,"Ceramics, Room 142, The Lydia and Manfred Gorvy Gallery",False,False
IS.9-1989,1989.0,O25029,Sculpture,The Buddhist Goddess Tara,Nepal,,,c. 8th century,2006BF5402,copper,casting,Licchavi period,"The Himalayas and South-East Asia, Room 47a",False,False
CIRC.263-1963,1963.0,O6516,Sculpture,Paaderin jää,Finland,"Wirkkala, Tapio",artist,1960,2006AV2359,,,20TH CONT,"Glass, Room 131",False,False
CIRC.215-1971,1971.0,O6413,Sculpture,,Great Britain,"Herman, Sam",glass-maker,1970,2006AT3648,,,20TH GB,"Glass, Room 131",False,False
IS.13-1983,1983.0,O83556,Sculpture,,Burma,Unknown,,10th century,2006AR9936,,carving,,"The Himalayas and South-East Asia, Room 47a",False,False
IPN.2639,,O24788,Sculpture,Standing Buddha,Thanjavur,Unknown,,11th century-12th century,2006AU5639,Copper alloy,,,"Buddhism, Room 47f, The Robert H. N. Ho Family Foundation Galleries of Buddhist Art",False,False
C.101-1988,1988.0,O2068,Sculpture,Lapp och Ren (Lap with reindeer),Sweden,"Lindstrand, Vicke",designer,ca. 1960,,,,20TH CONT,"Glass, Room 131",False,False
FE.8-2007,2007.0,O172856,Sea sculpture,,Vietnam,Unknown,,ca. 1725,2008BT0065,ceramic,thrown,Qing,"Ceramics, Room 145",False,False
FE.7-2007,2007.0,O172836,Sea sculpture,,Vietnam,Unknown,,ca. 1725,2008BR9287,earthenware,thrown,Qing,"Ceramics, Room 145",False,False
CIRC.516-1939,1939.0,O6972,Sculpture,,Zelezny Brod,Zelezny Brod glassworks,manufacturer,ca. 1938,,,,20TH CONT,"Glass, Room 131",False,False
IS.1-1968,1968.0,O24763,Sculpture,Agastya,Java,Unknown,,ca. 10th century,2006BF2301,stone,carving,,"The Himalayas and South-East Asia, Room 47a",False,False
601-1902,1902.0,O70439,Statue,St John the Baptist,France,"Rodin, Auguste",sculptor,1881,2006AX9931,,,,"Sculpture, Room 21, The Dorothy and Michael Hintze Galleries",False,False
IS.35-1988,1988.0,O68995,Sculpture,,Burma,Unknown,,12th century,2011EN9686,,carving,,"The Himalayas and South-East Asia, Room 47a",False,False
"C.103:2, 6-1995",1995.0,O306813,Sculpture (cup and saucer),The Will to Power,Quebec,"Mathieu, Paul",designer,1987,2009CR4891,porcelain,thrown,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
C.103:1-1995,1995.0,O256238,Sculpture (large plate),The Will to Power,Quebec,"Mathieu, Paul",designer,1987,2009CR0596,porcelain,thrown,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
C.103:4-1995,1995.0,O256236,Sculpture (soup bowl),The Will to Power,Quebec,"Mathieu, Paul",designer,1987,2009CR0583,porcelain,thrown,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
IS.505-1950,1950.0,O24855,Sculpture,Seated musician,Gandhara,Unknown,,5th century-6th century,2018KX0534,schist,carving,,"The Himalayas and South-East Asia, Room 47a",False,False
"A.20:1,2-2000",2000.0,O40421,Group,Venetian Boy Catching a Crab,Venice,Henrietta Skerrett Montalba,sculptor,ca. 1892-1893,2016JE0204,bronze,,,"Sculpture, Room 21a, The Dorothy and Michael Hintze Galleries",False,False
IS.138-1961,1961.0,O25046,Sculpture,,India,Unknown,,6th century-7th century,2006AU5730,terracotta,,Gandhara style,"The Himalayas and South-East Asia, Room 47a",False,False
IS.26-1987,1987.0,O66824,Sculpture,Bodhisattva Avalokitesvara,Kashmir,Unknown,,10th century,2006AV2592,bronze,,,"The Himalayas and South-East Asia, Room 47a",False,False
C.387-1918,1918.0,O150345,Sculpture,Boy Musician,Lambeth,"Tinworth, George",modeller,ca. 1900,2010CT5551,salt glaze,,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
IM.182-1929,1929.0,O145801,Sculpture,,Thailand,Unknown,,11th century -12th century,2011ET4123,,carving,,"The Himalayas and South-East Asia, Room 47a",False,False
,2025.0,O1803107,,,,,,,,,,,"China, Room 44",False,False
C.23:1-39-2018,2018.0,O1459729,Sculpture,Tending the Fires,Cardiff,Claire Curneen,artist,2016,2018LF6940,porcelain,glazing,,"Ceramics, Room 141, The McAulay Gallery",False,False
A.125-1920,1920.0,O14548,Sculpture,Nyoirin Kannon,Japan,,,1680,2006BF9761,,,,"Buddhism, Room 18, The Robert H. N. Ho Family Foundation Galleries of Buddhist Art",False,False
IM.79-1927,1927.0,O176612,Sculpture,,Thailand,unknown,,14th century-16th century,2017JV3183,Bronze,lost wax,,"The Himalayas and South-East Asia, Room 47a",False,False
IS.90-1958,1958.0,O82512,Seated Buddha,sculpture,Thailand,Unknown,,16th century-18th century,2012FN4879,copper alloy,lost wax,,"The Himalayas and South-East Asia, Room 47a",False,False
IS.74-1990,1990.0,O64460,Figure group,Sculpture,Bihar,Unknown,,late 9th century- 10th Century,2006AN7083,bronze,casting,Pala,"South Asian Sculpture, Room 47b",False,False
C.3-1970,1970.0,O150475,Sculpture,Doulton Lambeth Ware,Lambeth,Doulton Ceramic Factory,maker,ca. 1860,2010EB8142,Stoneware,modelled,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
,2023.0,O1759503,statuette, Hercules and the Lernaean Hydra,Florence,"Susini, Giovan Francesco",cast,1620-1640,,,,,"Sculpture, Room 117",False,False
IM.168-1929,1929.0,O65828,Sculpture,Head of a monk,Gandhara,Unknown,,4th century-5th century,2006AU8857,,,,"The Himalayas and South-East Asia, Room 47a",False,False
IS.13-1975,1975.0,O83582,Sculpture,,Burma,Unknown,,18th century,,teak,carved,,"Buddhism, Room 47f, The Robert H. N. Ho Family Foundation Galleries of Buddhist Art",False,False
CD.12-2020,2020.0,O1547827,Bag,"""SCULPTURE"" bag",,"Abloh, Virgil",designer,2019,2020MP7249,plastic,sewn,,"Design 1900 to Now, Room 76",False,False
CIRC.592-1976,1976.0,O70441,Statuette,Primavera,England,"Garbe, Richard",maker,1926,2006AT3545,ivory,,,"Sculpture, Room 21, The Dorothy and Michael Hintze Galleries",False,False
617-1872,1872.0,O64235,Sculpture,Seated  crowned Buddha,Bengal,Unknown,,11th century-12th century,2006AT2120,,carving,Pala,"Buddhism, Room 20, The Robert H. N. Ho Family Foundation Galleries of Buddhist Art",False,False
IS.12-1974,1974.0,O65822,Sculpture,Head of a Bodhisattva,Peshawar,Unknown,,3rd century-5th century,2006AU8859,,,,"The Himalayas and South-East Asia, Room 47a",False,False
C.110-1937,1937.0,O127929,Figure,Bodhidharma in Meditation,China,Unknown,,1484,2009CB5906,stoneware,glazing (coating),Ming,"Ceramics, Room 145",False,False
A.1-1928,1928.0,O168517,Figurine,,China,Unknown,,ca. 585-600,2015HP3882,Marble,Sculpture,Northern Dynasties,"China, Room 44",False,False
IS.127-1964,1964.0,O24982,Sculpture,Seated Buddha,Sri Lanka,Unknown,,18th century,2006AT4199,bronze,gilding,Late Kandyan,"The Himalayas and South-East Asia, Room 47a",False,False
IS.156-1984,1984.0,O18045,Sculpture,Gogaji on his horse,Rajasthan,Unknown,,19th century,2006AU7646,bronze,,,"South Asia Gallery, Room 41",False,False
IS.9-1966,1966.0,O471997,Sculpture,,,,,ca. 9th century,2017KA6448,,,,"South Asian Sculpture, Room 47b",False,False
IS.77-1965,1965.0,O25015,Figure group,Durga Mahishasuramardini,Karnataka,Unknown,,mid-13th century,2006AT2029,,,Hoysala style,"South Asian Sculpture, Room 47b",False,False
ME.2-2021,2021.0,O1510667,Ceramic sculpture,,,,,,2021MW4052,ceramic,,,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
CIRC.54-1975,1975.0,O7002,Sculpture,Emergence XV,Toledo,"Labino, Dominick",glass-maker,1973,2006AM4667,,,20TH CONT,"Glass, Room 131",False,False
A.98-1980,1980.0,O75704,Statue,Tahitian woman,England,"Gibbings, Robert",sculptor,ca. 1929 - ca. 1931,2021NA4569,,,,"Sculpture, Room 21, The Dorothy and Michael Hintze Galleries",False,False
A.18-1984,1984.0,O124052,Statuette,Eve after the Fall,Paris,"Carpeaux, Jean-Baptiste",sculptor,1873,2007BM6518,terracotta,cast,,"Sculpture, Room 21, The Dorothy and Michael Hintze Galleries",False,False
A.5-1986,1986.0,O67429,Statue,Diana,London,"Nollekens, Joseph",maker,1778,2006AV2500,marble,carving,,"Sculpture, Room 22, The Dorothy and Michael Hintze Galleries",False,False
IM.75-1935,1935.0,O60654,Sambandar (Figure),,Tamil Nadu,Unknown,,mid 11th century,2006AT8656,Copper alloy,,Chola,"South Asian Sculpture, Room 47b",False,False
IS.37-1994,1994.0,O24758,Sculpture,Bodhisattva Avalokitesvara,Java,Unknown,,ca. 11th century,2006AT7665,bronze,casting,East Javanese,"The Himalayas and South-East Asia, Room 47a",False,False
