RecordID,Museum,LocalID,AcqDate,ObjectType,ItemDate,StartDate,EndDate,MidpointDate,ItemPlace,ModernCountry,Culture,ItemMaterial,ItemTechnique
01546,BM,"No: 1981,0210.9",1981,figure,250BC-200BC (circa),-250.0,-200.0,-225.0,Egypt,Egypt,Roman,terracotta,glazed; mould-made; painted
01547,BM,"No: 1876,0909.106",1876,figure; toy,600 BC-475 BC,-600.0,-475.0,-538.0,Cyprus,Cyprus,Cypro-Archaic,terracotta,painted
01548,BM,"No: 1891,1213.2",1891,figure,,,,,Gaul,France,Romano-British,copper alloy,
01549,BM,"No: 1772,0302.69",1772,figure,1stC-2ndC,1.0,200.0,100.0,,Italy,Roman,bronze,
01550,BM,"No: 1824,0446.1",1824,figure,1stC-2ndC,1.0,200.0,100.0,,Italy,Roman,bronze,
01551,BM,"No: 1966,0616.2",1966,figure,9thC-10thC,801.0,1000.0,900.0,Kashmir,Pakistan,,bronze; silver,cast; inlaid
01552,BM,No: EA12588,1883,figure,,,,,,Egypt,Ancient Egypt,bronze,incised
01553,BM,"No: 1859,1226.166",1859,figure,4thC BC(late)-3rdC BC(early) (circa),-400.0,-201.0,-300.0,Knidos,Turkey,Hellenistic,terracotta,
01554,BM,"No: 1923,0212.604",1923,figure,700BC-600BC (circa),-700.0,-600.0,-650.0,,Greece,Orientalising Period,ivory,carved
01555,BM,No: 1880.152,,figure,19thC,1801.0,1900.0,1850.0,,China,,bronze; stone; gold,gilded; inlaid
01556,BM,"No: 1824,0472.1",1824,figure,1stC-2ndC,1.0,200.0,100.0,,Italy,Roman,bronze,
01557,BM,"No: 2022,3034.120",2022,figure,12thC BC (circa),-1200.0,-1101.0,-1150.0,China,China,Shang dynasty; Western Zhou dynasty,jade; cinnabar,bevelled; incised
01558,BM,"No: 1993,1211.1",1993,figure,2ndC BC-1stC BC,-200.0,-1.0,-100.0,Smyrna,Turkey,Hellenistic,terracotta,
01559,BM,"No: 1923,0212.608",1923,figure,700BC-600BC (circa),-700.0,-600.0,-650.0,,Greece,Orientalising Period,ivory,
01560,BM,"No: 1907,1201.365",,figure,650BC-600BC (circa),-650.0,-600.0,-625.0,,,East Greek; Archaic Greek,ivory,
01561,BM,"No: 1842,0728.844",1842,figure,300BC (circa),-300.0,-300.0,-300.0,Athens,Greece,Hellenistic,terracotta,painted; gilded; slipped
01562,BM,"No: 1859,1228.103",1859,figure,1800-1816,1800.0,1816.0,1808.0,Java,Indonesia,,bronze,cast
01563,BM,"No: 1900,0727.2",1900,figure,560BC (circa),-560.0,-560.0,-560.0,,Greece,Archaic Greek,bronze,
01564,BM,"No: 1873,0820.21",1873,figure,460BC (circa),-460.0,-460.0,-460.0,Locri Epizephyrii,Italy,Western Greek,bronze,
01565,BM,"No: 1864,1007.1300",1864,figure,450BC (circa),-450.0,-450.0,-450.0,Rhodes,Greece,East Greek,terracotta,
01566,BM,"No: 1893,0915.4",1893,figure,20-70 (circa),20.0,70.0,45.0,Myrina,Turkey,Roman; Hellenistic,terracotta,
01567,BM,"No: 1824,0438.2",1824,figure,150-220,150.0,220.0,185.0,,France,Roman,silver,
01568,BM,"No: 1966,0328.1",1966,figure,1600BC-1450BC,-1600.0,-1450.0,-1525.0,,,Late Minoan I,bronze,
01569,BM,"No: 1980,0728.55",1980,figure,18thC,1701.0,1800.0,1750.0,,China,Qing dynasty,porcelain; blanc de chine,
01570,BM,"No: 1854,1218.23",1854,figure,2700BC-2600BC,-2700.0,-2600.0,-2650.0,Cyclades,Greece,Keros-Syros Culture,marble,
01571,BM,No: 121164,1825,figure,,,,,,Iraq,Mesopotamian,copper alloy,cast
01572,BM,"No: 1824,0460.13",1824,figure,150-220,150.0,220.0,185.0,,France,Roman,silver,
01573,BM,"No: 1884,0309.1",1884,figure,540BC-520BC (circa),-540.0,-520.0,-530.0,,,Archaic Greek; East Greek,bronze,
01574,BM,"No: 1893,1101.5",1893,figure,300BC (circa),-300.0,-300.0,-300.0,Athens,Greece,Hellenistic,terracotta,
01575,BM,"No: 1870,0609.1",1870,figure; weight,8thC; 9thC-10thC (modification),701.0,800.0,750.0,,,Celtic,copper alloy; gold; lead,cast; gilded; incised
01576,BM,"No: 1897,0728.2",1897,figure,1stC-3rdC,1.0,300.0,150.0,,Turkey,Roman,bronze,
01577,BM,"No: 1985,1115.10",1985,figure,1751-1850 (circa),1751.0,1850.0,1800.0,,Sri Lanka,Kandyan; Buddhist,ivory,
01578,BM,"No: 1947,0712.489",1947,figure,907-1125,907.0,1125.0,1016.0,,China,Liao dynasty,jade,polished; incised
01579,BM,"No: 1879,0306.2",1879,figure,400BC-300BC,-400.0,-300.0,-350.0,Cyprus,Turkey,Cypro-Classical,terracotta,painted
01580,BM,"No: Oc1894,0716.4",1894,figure; door-jamb,,,,,,New Zealand,,wood; haliotis shell,carved; inlaid
01581,BM,"No: 1936,1219.1",1936,figure,11thC,1001.0,1100.0,1050.0,,,,bronze,
01582,BM,"No: Am1979,22.61",1979,figure,,,,,Gambell,United States,,walrus ivory,carved; painted; dyed; engraved
